City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Fort Nelson,CA,2021-01-13 17:26:11,58.8053,-122.7002,5.0,85,20,4.61
181,Northport,US,2021-01-13 17:26:12,33.229,-87.5772,37.99,100,90,3.44
182,Puerto Del Rosario,ES,2021-01-13 17:26:12,28.5004,-13.8627,66.2,34,20,6.91
183,Dingle,PH,2021-01-13 17:26:12,10.9995,122.6711,73.92,91,39,6.91
184,Banda Aceh,ID,2021-01-13 17:26:12,5.5577,95.3222,77.56,83,100,9.78
185,Monzon,ES,2021-01-13 17:26:12,41.9108,0.1941,35.6,93,20,4.61
186,Arraial Do Cabo,BR,2021-01-13 17:21:30,-22.9661,-42.0278,87.8,54,0,27.63
187,Puerto Colombia,CO,2021-01-13 17:26:12,10.9878,-74.9547,89.6,58,20,9.22
188,North Bend,US,2021-01-13 17:26:12,43.4065,-124.2243,50.0,93,90,4.61
189,Kruisfontein,ZA,2021-01-13 17:26:12,-34.0033,24.7314,70.0,90,97,5.99
190,Mazatan,MX,2021-01-13 17:26:12,14.8667,-92.45,89.6,43,1,5.12
191,Tabou,CI,2021-01-13 17:23:02,4.423,-7.3528,82.04,76,60,9.22
192,Oistins,BB,2021-01-13 17:25:38,13.0667,-59.5333,84.2,65,20,20.71
193,Kaniama,CD,2021-01-13 17:26:12,-7.5667,24.1833,69.42,95,21,3.09
194,Aripuana,BR,2021-01-13 17:26:12,-9.1667,-60.6333,94.42,44,73,3.22
195,Utete,TZ,2021-01-13 17:26:12,-7.986,38.758,75.61,94,54,5.39
196,Lermontovka,RU,2021-01-13 17:26:12,47.1453,134.3383,2.53,93,100,3.89
197,Laguna,US,2021-01-13 17:25:57,38.421,-121.4238,53.01,71,40,6.91
198,Samarai,PG,2021-01-13 17:26:13,-10.6167,150.6667,83.35,77,100,10.11
199,Guerrero Negro,MX,2021-01-13 17:26:13,27.9769,-114.0611,63.25,29,0,3.91
200,Shu,KZ,2021-01-13 17:26:13,43.5983,73.7614,14.59,96,60,4.54
201,Airai,TL,2021-01-13 17:26:13,-8.9266,125.4092,62.19,100,89,1.5
202,Etchojoa,MX,2021-01-13 17:26:13,26.9167,-109.6333,69.01,38,0,8.01
203,Kargasok,RU,2021-01-13 17:26:13,59.0556,80.8572,-10.73,90,98,9.84
204,Talnakh,RU,2021-01-13 17:26:13,69.4865,88.3972,-24.2,82,23,10.83
205,Kajaani,FI,2021-01-13 17:26:13,64.2273,27.7285,-11.2,77,0,9.22
206,Vostok,RU,2021-01-13 17:26:13,46.4856,135.8833,3.81,95,98,3.69
207,Labrea,BR,2021-01-13 17:26:13,-7.2586,-64.7981,93.94,46,69,3.98
208,Ayr,GB,2021-01-13 17:26:13,55.4627,-4.6339,37.4,100,90,9.22
209,Bredasdorp,ZA,2021-01-13 17:26:14,-34.5322,20.0403,71.6,73,100,16.11
210,Ravar,IR,2021-01-13 17:26:14,31.2656,56.8055,45.72,45,35,0.89
211,Honiara,SB,2021-01-13 17:26:14,-9.4333,159.95,77.79,83,88,2.17
212,Kahului,US,2021-01-13 17:25:01,20.8947,-156.47,71.6,83,20,8.05
213,Ibra,OM,2021-01-13 17:26:14,22.6906,58.5334,58.6,42,0,6.51
214,Pimentel,PE,2021-01-13 17:21:42,-6.8367,-79.9342,80.6,54,0,19.57
215,Antofagasta,CL,2021-01-13 17:26:14,-23.65,-70.4,72.0,68,20,18.41
216,Manbij,SY,2021-01-13 17:26:14,36.5281,37.9549,50.0,66,75,15.88
217,Leningradskiy,RU,2021-01-13 17:26:14,69.3833,178.4167,-14.01,87,100,9.08
